Player,ExpertRanking,ADP,Pos,FantasyPoints,ADP_rerank
Saquon Barkley,1,1.0,RB,244.1,1
Ezekiel Elliott,2,4.0,RB,311.7,4
Alvin Kamara,3,3.0,RB,248.52,3
Christian McCaffrey,4,2.0,RB,469.2,2
Nick Chubb,5,10.0,RB,255.2,8
David Johnson,6,9.0,RB,141.5,7
DeAndre Hopkins,1,5.0,WR,266.54,1
James Conner,7,6.0,RB,145.5,5
Davante Adams,2,8.0,WR,210.7,2
Le'Veon Bell,8,7.0,RB,213.0,6
Julio Jones,3,14.0,WR,274.1,4
Dalvin Cook,9,15.0,RB,292.4,10
Tyreek Hill,5,16.0,WR,188.3,5
Travis Kelce,1,20.0,TE,254.3,1
Joe Mixon,10,19.0,RB,225.4,11
Todd Gurley,11,11.0,RB,217.4,9
JuJu Smith-Schuster,6,17.0,WR,113.2,6
Michael Thomas,7,13.0,WR,374.6,3
Mike Evans,8,22.0,WR,230.7,7
Keenan Allen,9,26.0,WR,261.5,10
Chris Carson,12,30.0,RB,232.6,16
Aaron Jones,13,28.0,RB,314.8,15
Leonard Fournette,14,21.0,RB,259.4,12
Kerryon Johnson,15,27.0,RB,85.0,14
Adam Thielen,10,24.0,WR,114.4,9
Amari Cooper,11,34.0,WR,246.5,11
Sony Michel,16,44.0,RB,152.6,23
Derrick Henry,17,36.0,RB,294.6,19
Brandin Cooks,12,40.0,WR,117.5,13
Devonta Freeman,18,33.0,RB,197.6,18
George Kittle,2,31.0,TE,222.5,3
Stefon Diggs,13,35.0,WR,212.1,12
Patrick Mahomes,1,12.0,QB,285.04,1
Robert Woods,14,42.0,WR,232.9,14
Zach Ertz,3,29.0,TE,213.6,2
Tyler Lockett,15,46.0,WR,235.2,17
Josh Jacobs,19,32.0,RB,191.6,17
Marlon Mack,20,39.0,RB,179.29999999999995,21
Chris Godwin,16,50.0,WR,274.1,19
David Montgomery,21,38.0,RB,170.4,20
Mark Ingram,22,41.0,RB,238.5,22
Julian Edelman,17,43.0,WR,254.28,15
Kenny Golladay,18,49.0,WR,248.0,18
Damien Williams,23,25.0,RB,141.1,13
T.Y. Hilton,19,45.0,WR,125.1,16
Deshaun Watson,2,37.0,QB,318.98,2
Antonio Brown,20,23.0,WR,16.1,8
Cooper Kupp,21,51.0,WR,270.5,20
O.J. Howard,4,55.0,TE,83.9,4
Phillip Lindsay,24,52.0,RB,197.7,25
Tevin Coleman,25,56.0,RB,135.4,26
Mike Williams,22,59.0,WR,161.29999999999995,23
Tyler Boyd,23,57.0,WR,222.9,22
D.J. Moore,24,67.0,WR,230.5,26
Evan Engram,5,61.0,TE,109.4,5
Calvin Ridley,25,53.0,WR,195.0,21
Hunter Henry,6,66.0,TE,148.2,6
Aaron Rodgers,3,47.0,QB,272.38000000000005,3
Allen Robinson,26,77.0,WR,254.9,28
Alshon Jeffery,27,63.0,WR,122.2,24
Duke Johnson,26,70.0,RB,154.0,30
Miles Sanders,27,68.0,RB,216.7,29
Austin Ekeler,28,58.0,RB,309.0,27
Melvin Gordon,29,48.0,RB,180.8,24
James White,30,64.0,RB,198.2,28
Derrius Guice,31,73.0,RB,57.4,31
Latavius Murray,32,83.0,RB,157.2,34
Robby Anderson,28,78.0,WR,160.3,29
Baker Mayfield,4,54.0,QB,227.18,4
Matt Ryan,5,62.0,QB,265.34,5
Kenyan Drake,33,74.0,RB,212.2,32
Carson Wentz,6,72.0,QB,271.86,7
Jarvis Landry,30,69.0,WR,237.4,27
Matt Breida,34,97.0,RB,103.3,37
Cam Newton,7,89.0,QB,16.68,10
Devin Singletary,35,99.0,RB,147.9,38
Tarik Cohen,36,76.0,RB,163.9,33
Sammy Watkins,31,86.0,WR,136.5,32
Rashaad Penny,37,100.0,RB,75.3,39
Will Fuller,32,81.0,WR,134.0,31
Curtis Samuel,33,98.0,WR,171.7,38
Royce Freeman,38,112.0,RB,142.2,43
Christian Kirk,34,90.0,WR,166.20000000000005,34
LeSean McCoy,39,94.0,RB,118.6,36
Jared Cook,7,75.0,TE,167.5,7
Dede Westbrook,35,80.0,WR,152.7,30
Marvin Jones,36,93.0,WR,193.9,37
Russell Wilson,8,82.0,QB,326.6,9
Corey Davis,37,92.0,WR,115.1,36
Jordan Howard,40,87.0,RB,111.4,35
Jared Goff,9,79.0,QB,247.52,8
Sterling Shepard,38,91.0,WR,139.79999999999998,35
Vance McDonald,8,85.0,TE,83.5,8
Josh Gordon,39,65.0,WR,73.69999999999997,25
Dante Pettis,40,109.0,WR,34.54,40
Drew Brees,10,71.0,QB,224.76,6
Jameis Winston,11,103.0,QB,297.36,12
David Njoku,9,101.0,TE,15.1,10
Lamar Jackson,12,106.0,QB,415.68,14
Kalen Ballage,41,130.0,RB,51.8,48
Kyler Murray,13,108.0,QB,279.28,15
Darrell Henderson,42,102.0,RB,22.4,40
Peyton Barber,43,107.0,RB,114.5,41
Courtland Sutton,41,115.0,WR,222.42,42
Larry Fitzgerald,42,104.0,WR,177.4,39
Ben Roethlisberger,14,96.0,QB,12.739999999999998,11
Dak Prescott,15,122.0,QB,335.7800000000001,17
Marquez Valdes-Scantling,43,113.0,WR,84.10000000000002,41
DeSean Jackson,44,127.0,WR,36.9,45
Geronimo Allison,45,120.0,WR,73.4,44
Michael Gallup,46,132.0,WR,212.7,46
Emmanuel Sanders,47,88.0,WR,188.3,33
John Brown,48,142.0,WR,219.82,49
Tyrell Williams,49,139.0,WR,143.1,48
Philip Rivers,16,116.0,QB,233.50000000000003,16
Justice Hill,44,148.0,RB,49.5,51
Austin Hooper,10,129.0,TE,189.7,12
Carlos Hyde,45,151.0,RB,153.2,52
Donte Moncrief,50,135.0,WR,5.8,47
Justin Jackson,46,128.0,RB,31.2,47
Anthony Miller,51,144.0,WR,127.5,50
Delanie Walker,11,117.0,TE,54.5,11
Dion Lewis,47,131.0,RB,66.3,49
Tom Brady,18,105.0,QB,261.67999999999995,13
Adrian Peterson,48,123.0,RB,147.0,46
Jamison Crowder,52,165.0,WR,197.7,54
Eric Ebron,12,95.0,TE,86.5,9
Mark Andrews,13,140.0,TE,207.2,14
Kirk Cousins,19,134.0,QB,242.42,18
Josh Allen,20,154.0,QB,282.56,20
James Washington,53,119.0,WR,133.5,43
Keke Coutee,54,158.0,WR,52.8,53
Jaylen Samuels,49,137.0,RB,104.4,50
Darwin Thompson,50,121.0,RB,32.1,45
D.K. Metcalf,55,145.0,WR,185.1,51
Golden Tate,56,146.0,WR,152.2,52
Jimmy Garoppolo,21,150.0,QB,243.32,19
Nyheim Hines,52,183.0,RB,105.9,56
Albert Wilson,57,205.0,WR,89.4,67
Trey Burton,14,152.0,TE,22.4,15
Marquise Goodwin,58,175.0,WR,38.1,57
Damien Harris,53,159.0,RB,1.2,54
Kenny Stills,59,187.0,WR,120.1,61
Sam Darnold,22,186.0,QB,183.16,23
Mohamed Sanu,60,180.0,WR,124.1,58
Ito Smith,54,164.0,RB,36.3,55
C.J. Anderson,55,189.0,RB,4.3,57
Frank Gore,56,212.0,RB,94.9,63
Devin Funchess,61,200.0,WR,6.2,63
Jimmy Graham,16,177.0,TE,100.7,17
Alexander Mattison,57,153.0,RB,68.4,53
Tre'Quan Smith,62,208.0,WR,71.4,68
Kyle Rudolph,17,169.0,TE,111.7,16
DaeSean Hamilton,63,204.0,WR,63.7,66
Tony Pollard,58,114.0,RB,87.2,44
Adam Humphries,64,221.0,WR,86.5,70
Matthew Stafford,23,166.0,QB,166.55999999999997,21
Giovani Bernard,59,225.0,RB,68.4,64
Kareem Hunt,60,110.0,RB,101.4,42
Derek Carr,24,182.0,QB,244.36,22
Chris Thompson,61,190.0,RB,93.6,58
Deebo Samuel,66,170.0,WR,187.1,55
Jamaal Williams,62,193.0,RB,146.3,59
Mike Davis,63,235.0,RB,11.9,66
T.J. Hockenson,20,136.0,TE,80.7,13
Jack Doyle,21,210.0,TE,111.8,20
Malcolm Brown,64,198.0,RB,59.1,61
Andy Dalton,25,251.0,QB,199.66,27
Jacoby Brissett,26,243.0,QB,215.68,26
Quincy Enunwa,67,247.0,WR,-1.4,79
Marquise Brown,68,184.0,WR,146.4,59
Darren Waller,22,194.0,TE,221.0,19
Dallas Goedert,23,224.0,TE,144.7,22
Nick Foles,27,195.0,QB,35.73999999999999,24
Chase Edmonds,65,239.0,RB,82.8,67
Jalen Richard,66,196.0,RB,82.8,60
Trey Quinn,69,264.0,WR,49.8,88
Mecole Hardman,70,185.0,WR,113.5,60
Gus Edwards,67,231.0,RB,92.6,65
Zay Jones,71,197.0,WR,48.9,62
Ted Ginn,72,246.0,WR,85.89999999999998,78
Ty Montgomery,68,209.0,RB,32.3,62
Marcus Mariota,28,229.0,QB,85.02000000000002,25
Noah Fant,24,191.0,TE,111.0,18
Parris Campbell,73,227.0,WR,38.1,71
T.J. Yeldon,69,245.0,RB,29.7,69
Robert Foster,74,258.0,WR,12.3,84
Ryquell Armstead,70,255.0,RB,51.2,70
Joe Flacco,29,273.0,QB,82.88,28
Taylor Gabriel,75,313.0,WR,90.3,101
Rex Burkhead,71,312.0,RB,101.1,76
Marqise Lee,76,201.0,WR,4.9,64
Rashard Higgins,77,256.0,WR,15.5,83
Randall Cobb,78,232.0,WR,154.9,73
A.J. Brown,79,230.0,WR,217.1,72
Tyler Eifert,25,241.0,TE,104.6,24
Paul Richardson,81,265.0,WR,64.5,89
Cole Beasley,82,261.0,WR,180.8,87
