OVERALL,POS,Best,Worst,Avg,Std Dev,ADP,vs. ADP
Le'Veon Bell,RB1,1,13,2.7,2.8,1,0
Adrian Peterson,RB2,1,13,4.2,3.6,2,0
Jamaal Charles,RB3,1,13,4.3,3.2,3,0
Antonio Brown,WR1,1,10,4.3,2.3,4,0
Eddie Lacy,RB4,1,15,6.6,4,5,0
Julio Jones,WR2,2,21,7.6,2.9,7,1
Rob Gronkowski,TE1,3,17,8.9,3.7,9,2
Demaryius Thomas,WR3,4,21,8.9,3.6,12,4
Dez Bryant,WR4,3,18,9.7,3.7,8,-1
Odell Beckham Jr.,WR5,2,25,10.9,5.4,10,0
Matt Forte,RB5,2,34,11.6,6.9,13,2
C.J. Anderson,RB6,1,33,13.1,5.6,11,-1
Marshawn Lynch,RB7,4,34,13.4,4.8,6,-7
Calvin Johnson,WR6,4,22,14.2,4.5,14,0
A.J. Green,WR7,8,22,14.6,3,17,2
Randall Cobb,WR8,4,43,15.4,6.5,20,4
Justin Forsett,RB8,4,38,18.3,7,22,5
Jeremy Hill,RB9,5,34,19.6,5.4,16,-2
DeMarco Murray,RB10,3,36,20.1,6.4,15,-4
Alshon Jeffery,WR9,5,54,21.6,8.4,23,3
Mike Evans,WR10,11,41,23.4,6.5,25,4
LeSean McCoy,RB11,1,70,24.8,10.8,18,-4
Brandin Cooks,WR11,8,40,24.8,6.8,26,3
DeAndre Hopkins,WR12,4,60,25.7,8.3,29,5
T.Y. Hilton,WR13,14,54,25.9,8.4,24,-1
Lamar Miller,RB12,5,80,25.9,11.7,27,1
Andrew Luck,QB1,16,42,27.8,4,19,-8
Frank Gore,RB13,14,51,29.5,8,28,0
Aaron Rodgers,QB2,24,54,29.7,5.4,21,-8
Jordan Matthews,WR14,7,66,32.7,12.1,32,2
Mark Ingram,RB14,15,64,35,9,33,2
Emmanuel Sanders,WR15,19,82,36.6,13.2,31,-1
Julian Edelman,WR16,11,66,37.7,11.9,43,10
Andre Ellington,RB15,19,97,39.4,17.6,37,3
Andre Johnson,WR17,21,76,40.3,11.3,39,4
C.J. Spiller,RB16,14,88,40.7,13.6,55,19
Keenan Allen,WR18,28,66,41.6,9.8,46,9
Latavius Murray,RB17,25,71,43.1,10.3,35,-3
Jonathan Stewart,RB18,25,90,44.1,15.6,48,9
Amari Cooper,WR19,23,108,44.6,14.9,40,0
Alfred Morris,RB19,32,86,46.1,10.8,36,-5
Jimmy Graham,TE2,27,67,46.1,13.1,30,-12
Golden Tate,WR20,23,77,48.1,12.2,41,-2
Brandon Marshall,WR21,30,64,48.1,9.4,58,14
Melvin Gordon,RB20,26,82,48.3,15.3,34,-11
Greg Olsen,TE3,21,83,49.7,13.3,51,5
Allen Robinson,WR22,28,75,50.9,11.6,62,15
Jarvis Landry,WR23,22,96,51.9,15.3,47,-1
Ameer Abdullah,RB21,15,104,48.4,16.2,44,-5
Jeremy Maclin,WR24,24,78,52.9,12.1,49,-1
Russell Wilson,QB3,35,92,53.4,12.7,59,8
Travis Kelce,TE4,27,79,54.3,10.7,52,0
Carlos Hyde,RB22,24,107,54.5,15.5,38,-15
Davante Adams,WR25,30,134,56.3,20.7,67,13
T.J. Yeldon,RB23,32,90,56.4,17.1,56,1
Peyton Manning,QB4,36,113,57.2,14.3,53,-3
Drew Brees,QB5,44,110,56.8,13.1,57,0
Sammy Watkins,WR26,41,154,61.4,17.9,54,-4
Ben Roethlisberger,QB6,44,104,61.4,14.9,61,2
Giovani Bernard,RB24,34,112,64.7,20.8,63,3
Doug Martin,RB25,26,123,66.8,21.3,60,-1
Martellus Bennett,TE5,33,99,67.6,14.7,66,4
Vincent Jackson,WR27,35,152,67.6,17.7,69,6
Christopher Ivory,RB26,26,110,64.4,23.5,68,4
Larry Fitzgerald,WR28,46,112,68.3,14,87,22
DeSean Jackson,WR29,44,151,69.1,18.6,64,-2
Todd Gurley,RB27,40,110,71.1,18,45,-22
Joseph Randle,RB28,35,133,71.3,21.9,42,-26
Steve Smith,WR30,46,153,73.2,17.8,91,22
Roddy White,WR31,42,138,73.9,19.2,83,13
Matt Ryan,QB7,52,120,72.1,13,72,1
Eric Decker,WR32,52,150,75.6,22.7,88,16
Anquan Boldin,WR33,41,155,74.4,24.1,98,25
Tony Romo,QB8,52,149,77.3,16.8,79,5
LeGarrette Blount,RB29,39,113,77.7,16.9,75,0
Shane Vereen,RB30,42,124,79.7,19.4,73,-3
Arian Foster,RB31,11,166,77.1,34.2,50,-27
Charles Johnson,WR34,47,142,80.7,19.8,74,-4
John Brown,WR35,31,115,84.5,15.8,85,6
Joique Bell,RB32,33,124,85.7,21.6,71,-9
Rashad Jennings,RB33,48,136,86,18.7,78,-3
Nelson Agholor,WR36,43,159,81.7,19.8,70,-12
Tom Brady,QB9,44,133,86.1,24.5,80,-3
Kendall Wright,WR37,49,141,88,19.5,106,22
Jason Witten,TE6,57,114,88.6,11.8,93,8
