OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
,,,,,,,,
Todd Gurley,RB1,12,1,11,1.9,1.5,1,0
David Johnson,RB2,9,1,9,2.3,1.5,3,1
Antonio Brown,WR1,7,1,11,4.6,1.8,5,2
Ezekiel Elliott,RB3,8,2,12,4.9,2,4,0
Alvin Kamara,RB4,6,2,14,6,2.6,6,1
DeAndre Hopkins,WR2,10,3,14,7.8,2.5,8,2
Odell Beckham Jr.,WR3,9,3,14,8.1,2.3,12,5
Saquon Barkley,RB5,9,2,23,9.3,4.4,7,-1
Julio Jones,WR4,8,2,19,10.8,2.8,13,4
Michael Thomas,WR5,6,4,19,11.6,3.1,16,6
Melvin Gordon,RB6,8,3,32,11.7,6.3,11,0
Kareem Hunt,RB7,12,6,31,13.1,5,10,-2
Keenan Allen,WR6,8,6,22,13.4,2.9,17,4
Leonard Fournette,RB8,9,1,41,15.8,6.5,9,-5
Christian McCaffrey,RB9,4,3,79,16.2,9,15,0
A.J. Green,WR7,9,6,28,16.2,3.3,20,4
Davante Adams,WR8,7,8,27,16.7,4,18,1
Le'Veon Bell,RB10,7,1,188,16.4,26.9,2,-16
Dalvin Cook,RB11,10,8,78,22.2,9.3,14,-5
Rob Gronkowski,TE1,11,13,57,23.2,8.4,21,1
Devonta Freeman,RB12,8,10,82,23.4,9.8,19,-2
Mike Evans,WR9,5,15,39,23.6,4.7,22,0
T.Y. Hilton,WR10,9,14,35,24.6,4.5,28,5
Larry Fitzgerald,WR11,9,14,39,26,5.6,32,8
Stefon Diggs,WR12,10,15,50,26.4,7.2,30,5
Travis Kelce,TE2,12,16,53,27.2,7.4,26,0
Tyreek Hill,WR13,12,13,46,27.7,6.1,25,-2
Adam Thielen,WR14,10,15,60,28.4,7.9,31,3
Amari Cooper,WR15,7,23,55,32.5,6.3,34,5
Jordan Howard,RB13,5,19,85,33,9.5,23,-7
Joe Mixon,RB14,9,17,90,33,12.6,24,-7
Jarvis Landry,WR16,11,18,61,34.3,7,38,6
Doug Baldwin,WR17,7,17,65,33,10,36,3
Demaryius Thomas,WR18,10,20,64,35.8,7.4,41,7
Zach Ertz,TE3,9,18,70,36.2,9.3,35,0
Golden Tate,WR19,6,21,74,36.4,9.6,45,9
Aaron Rodgers,QB1,7,26,54,38.5,6.4,29,-8
LeSean McCoy,RB15,11,17,101,38.8,14.1,27,-11
